sample_id,label,attn_layer_0,mlp_layer_0,attn_layer_1,mlp_layer_1,attn_layer_2,mlp_layer_2,attn_layer_3,mlp_layer_3,attn_layer_4,mlp_layer_4,attn_layer_5,mlp_layer_5,attn_layer_6,mlp_layer_6,attn_layer_7,mlp_layer_7,attn_layer_8,mlp_layer_8,attn_layer_9,mlp_layer_9,attn_layer_10,mlp_layer_10,attn_layer_11,mlp_layer_11,attn_layer_12,mlp_layer_12,attn_layer_13,mlp_layer_13,attn_layer_14,mlp_layer_14,attn_layer_15,mlp_layer_15,attn_layer_16,mlp_layer_16,attn_layer_17,mlp_layer_17,attn_layer_18,mlp_layer_18,attn_layer_19,mlp_layer_19,attn_layer_20,mlp_layer_20,attn_layer_21,mlp_layer_21,attn_layer_22,mlp_layer_22,attn_layer_23,mlp_layer_23,group,attention_drift,ffn_drift
ragtruth_10096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.5079920394346118,0.6895086032648882
ragtruth_10096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.13095524907112122,0.33226590355237323
ragtruth_10097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.11701057354609172,0.45579250653584796
ragtruth_10097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.18492688735326132,0.4139771858851115
ragtruth_10097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.06287182370821635,0.1565951406955719
ragtruth_10111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.41969121247529984,0.6728036950031916
ragtruth_10111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.5019258158281446,0.6769552913804849
ragtruth_10111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.13176443179448447,0.33387767275174457
ragtruth_10112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.160049170255661,0.5360923061768214
ragtruth_10112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.26583043734232586,0.5254528274138769
ragtruth_10112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.10422306259473164,0.3110062728325526
